"referid","testid","seqid","algorithm","sp","tc","time"
"ref6","test_2c","ktn+trk_2_ref6","tcoffee","","","1238.173"
"ref6","test_2c","ktn+trk_2_ref6","dialign","","","885.65"
"ref6","test_2c","ktn+trk_2_ref6","poa","","","242.889"
"ref6","test_2c","ktn+trk_2_ref6","clustalw2","","","502.385"
"ref1","test3","actin_ref1","tcoffee","0.960","0.917","574.367"
"ref1","test3","actin_ref1","dialign","0.935","0.868","333.709"
"ref1","test3","actin_ref1","poa","0.934","0.876","163.529"
"ref1","test3","actin_ref1","clustalw2","0.931","0.852","205.62"
"ref6","test_2c","faa_3_ref6","tcoffee","","","1492.597"
"ref6","test_2c","faa_3_ref6","dialign","","","836.425"
"ref6","test_2c","faa_3_ref6","poa","","","327.455"
"ref6","test_2c","faa_3_ref6","clustalw2","","","426.978"
"ref6","test_2b","zf_2_ref6","tcoffee","","","3859.12"
"ref6","test_2b","zf_2_ref6","dialign","","","2185.723"
"ref6","test_2b","zf_2_ref6","poa","","","591.351"
"ref6","test_2b","zf_2_ref6","clustalw2","","","922.241"
"ref6","test","zf_ref6","tcoffee","","",""
"ref6","test","zf_ref6","dialign","","",""
"ref6","test","zf_ref6","poa","","",""
"ref6","test","zf_ref6","clustalw2","","","20310.098"
"ref1","test1","1aho_ref1","tcoffee","0.929","0.882","388.786"
"ref1","test1","1aho_ref1","dialign","0.882","0.784","153.72"
"ref1","test1","1aho_ref1","poa","0.822","0.725","138.681"
"ref1","test1","1aho_ref1","clustalw2","0.816","0.647","95.608"
"ref3","test","1ajsA_ref3","tcoffee","0.547","0.196","13490.953"
"ref3","test","1ajsA_ref3","dialign","0.388","0.000","8434.154"
"ref3","test","1ajsA_ref3","poa","0.433","0.093","1700.255"
"ref3","test","1ajsA_ref3","clustalw2","0.473","0.121","2337.826"
"ref1","test1","1krn_ref1","tcoffee","0.965","0.923","276.043"
"ref1","test1","1krn_ref1","dialign","0.582","","84.769"
"ref1","test1","1krn_ref1","poa","0.858","0.738","109.711"
"ref1","test1","1krn_ref1","clustalw2","0.969","0.923","69.939"
"ref2","test1","1csy_ref2","tcoffee","0.820","0.081","715.316"
"ref2","test1","1csy_ref2","dialign","0.629","0.000","403.892"
"ref2","test1","1csy_ref2","poa","0.697","0.000","179.035"
"ref2","test1","1csy_ref2","clustalw2","0.806","0.081","119.012"
"ref6","test_2c","zf_2_ref6","tcoffee","","","1920.46"
"ref6","test_2c","zf_2_ref6","dialign","","","1130.433"
"ref6","test_2c","zf_2_ref6","poa","","","411.484"
"ref6","test_2c","zf_2_ref6","clustalw2","","","717.625"
"ref6","test_2c","faa_2_ref6","tcoffee","","","673.486"
"ref6","test_2c","faa_2_ref6","dialign","","","425.074"
"ref6","test_2c","faa_2_ref6","poa","","","165.677"
"ref6","test_2c","faa_2_ref6","clustalw2","","","252.587"
"ref1","test1","1plc_ref1","tcoffee","0.948","0.869","194.919"
"ref1","test1","1plc_ref1","dialign","0.614","0.179","56.929"
"ref1","test1","1plc_ref1","poa","0.910","0.774","125.387"
"ref1","test1","1plc_ref1","clustalw2","0.924","0.810","33.958"
"ref6","test_2b","zf_1_ref6","tcoffee","","","1027.006"
"ref6","test_2b","zf_1_ref6","dialign","","","626.59"
"ref6","test_2b","zf_1_ref6","poa","","","226.371"
"ref6","test_2b","zf_1_ref6","clustalw2","","","376.187"
"ref1","test3","1pamA_ref1","tcoffee","0.546","0.381","1028.361"
"ref1","test3","1pamA_ref1","dialign","0.396","0.305","461.255"
"ref1","test3","1pamA_ref1","poa","0.237","0.035","223.082"
"ref1","test3","1pamA_ref1","clustalw2","0.448","0.270","312.092"
"ref3","test","1ubi_ref3","tcoffee","0.613","0.281","1317.793"
"ref3","test","1ubi_ref3","dialign","0.351","0.000","606.268"
"ref3","test","1ubi_ref3","poa","0.422","0.070","160.46"
"ref3","test","1ubi_ref3","clustalw2","0.611","0.193","106.747"
"ref6","test","trk_ref6","tcoffee","","","16815.63"
"ref6","test","trk_ref6","dialign","","","12374.293"
"ref6","test","trk_ref6","poa","","","2401.708"
"ref6","test","trk_ref6","clustalw2","","","3304.808"
"ref1","test2","5ptp_ref1","tcoffee","0.961","0.916","390.742"
"ref1","test2","5ptp_ref1","dialign","0.644","0.172","228.044"
"ref1","test2","5ptp_ref1","poa","0.927","0.833","121.677"
"ref1","test2","5ptp_ref1","clustalw2","0.948","0.888","134.018"
"ref6","test_2c","ktn+trk_1_ref6","tcoffee","","","2002.751"
"ref6","test_2c","ktn+trk_1_ref6","dialign","","","1168.532"
"ref6","test_2c","ktn+trk_1_ref6","poa","","","355.959"
"ref6","test_2c","ktn+trk_1_ref6","clustalw2","","","537.443"
"ref6","test","lrr_ref6","tcoffee","","","19660.208"
"ref6","test","lrr_ref6","dialign","","","13240.119"
"ref6","test","lrr_ref6","poa","","","2611.283"
"ref6","test","lrr_ref6","clustalw2","","","5439.095"
"ref6","test_4","zf_2_ref6","tcoffee","","","14443.597"
"ref6","test_4","zf_2_ref6","dialign","","",""
"ref6","test_4","zf_2_ref6","poa","","",""
"ref6","test_4","zf_2_ref6","clustalw2","","","6052.416"
"ref1","test2","2pia_ref1","tcoffee","0.671","0.551","404.516"
"ref1","test2","2pia_ref1","dialign","0.168","0.000","179.513"
"ref1","test2","2pia_ref1","poa","0.337","0.121","149.503"
"ref1","test2","2pia_ref1","clustalw2","0.616","0.531","128.781"
"ref6","test_2c","zf_1_ref6","tcoffee","","","2550.866"
"ref6","test_2c","zf_1_ref6","dialign","","","1807.852"
"ref6","test_2c","zf_1_ref6","poa","","","652.345"
"ref6","test_2c","zf_1_ref6","clustalw2","","","1402.393"
"ref1","test3","2ack_ref1","tcoffee","0.799","0.652","930.218"
"ref1","test3","2ack_ref1","dialign","0.719","0.559","522.138"
"ref1","test3","2ack_ref1","poa","0.699","0.542","218.418"
"ref1","test3","2ack_ref1","clustalw2","0.686","0.512","286.157"
"ref6","test_2c","faa_1_ref6","tcoffee","","","1422.769"
"ref6","test_2c","faa_1_ref6","dialign","","","826.148"
"ref6","test_2c","faa_1_ref6","poa","","","262.737"
"ref6","test_2c","faa_1_ref6","clustalw2","","","403.077"
"ref5","test","1thm2_ref5","tcoffee","0.904","0.735","498.608"
"ref5","test","1thm2_ref5","dialign","0.610","0.013","244.074"
"ref5","test","1thm2_ref5","poa","0.746","0.258","140.342"
"ref5","test","1thm2_ref5","clustalw2","0.864","0.619","107.51"
"ref1","test3","3pmg_ref1","tcoffee","0.980","0.973","618.233"
"ref1","test3","3pmg_ref1","dialign","0.944","0.902","312.457"
"ref1","test3","3pmg_ref1","poa","0.952","0.919","176.612"
"ref1","test3","3pmg_ref1","clustalw2","0.950","0.923","280.83"
"ref4","test","1pysA_ref4","tcoffee","0.671","0.364","461.587"
"ref4","test","1pysA_ref4","dialign","0.723","0.464","138.035"
"ref4","test","1pysA_ref4","poa","0.653","0.359","139.586"
"ref4","test","1pysA_ref4","clustalw2","0.558","0.177","115.17"
"ref1","test3","1cpt_ref1","tcoffee","0.720","0.532","449.174"
"ref1","test3","1cpt_ref1","dialign","0.648","0.443","175.064"
"ref1","test3","1cpt_ref1","poa","0.498","0.301","151.538"
